2026-02-27 21:06:14.248065 | MEDIUM ALERT | LOGIN_FAILED | IP=127.0.0.1 | user=Neha
2026-02-27 21:06:29.474750 | MEDIUM ALERT | LOGIN_FAILED | IP=127.0.0.1 | user=Neha
2026-02-27 21:06:39.098492 | MEDIUM ALERT | LOGIN_FAILED | IP=127.0.0.1 | user=admin
2026-02-27 21:06:39.100859 | HIGH ALERT | BRUTE_FORCE_DETECTED | IP=127.0.0.1 | user=admin
2026-02-27 21:07:06.831403 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:07:48.356789 | HIGH ALERT | SQL_INJECTION_ATTEMPT | IP=127.0.0.1 | payload=' OR '1'='1
2026-02-27 21:30:43.817018 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:30:43,816 | CRITICAL | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:31:15.123080 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:31:15,120 | CRITICAL | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:35:23.504031 | MEDIUM ALERT | REGISTER_FAILED | IP=127.0.0.1 | duplicate email
2026-02-27 21:36:21.890277 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:36:21,888 | CRITICAL | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:37:09.701478 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:37:09,699 | CRITICAL | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:37:22.870201 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:37:22,868 | CRITICAL | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:37:45.784754 | HIGH ALERT | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
2026-02-27 21:37:45,782 | CRITICAL | LOGIN_BLOCKED | IP=127.0.0.1 | account locked
